LINEA,ESTACION,DESDE,TOTAL,X,Y
LINEA_A,CARABOBO,2017-05-23 06:30:00,66.3483606557,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 06:45:00,112.918032787,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 07:00:00,196.32244898,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 07:15:00,270.408163265,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 07:30:00,302.947154472,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 07:45:00,321.829457364,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 08:00:00,403.505791506,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 08:15:00,474.648648649,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 08:30:00,449.803088803,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 08:45:00,386.857142857,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 09:00:00,349.266409266,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 09:15:00,339.50965251,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 09:30:00,289.953488372,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 09:45:00,231.104247104,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 10:00:00,211.370656371,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 10:15:00,202.015503876,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 10:30:00,185.725868726,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 10:45:00,171.277992278,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 11:00:00,165.984555985,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 11:15:00,168.722007722,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 11:30:00,165.316602317,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 11:45:00,156.355212355,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 12:00:00,167.567567568,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 12:15:00,173.274131274,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 12:30:00,168.420849421,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 12:45:00,165.517374517,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 13:00:00,181.683397683,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 13:15:00,182.204633205,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 13:30:00,166.11969112,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 13:45:00,148.446153846,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 14:00:00,155.469230769,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 14:15:00,154.1,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 14:30:00,149.096153846,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 14:45:00,128.1,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 15:00:00,136.003846154,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 15:15:00,135.323076923,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 15:30:00,133.208494208,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 15:45:00,127.15,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 16:00:00,142.669230769,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 16:15:00,147.076923077,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 16:30:00,149.780769231,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 16:45:00,160.930769231,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 17:00:00,181.584615385,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 17:15:00,176.45,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 17:30:00,178.446153846,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 17:45:00,154.942307692,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 18:00:00,175.907692308,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 18:15:00,160.238461538,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 18:30:00,133.915384615,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 18:45:00,116.611538462,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 19:00:00,117.546153846,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 19:15:00,106.242307692,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 19:30:00,96.4787644788,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 19:45:00,85.6153846154,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 20:00:00,98.2115384615,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 20:15:00,84.7576923077,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 20:30:00,76.4555984556,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 20:45:00,60.9224806202,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 21:00:00,60.9341085271,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 21:15:00,48.0540540541,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 21:30:00,36.7104247104,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 21:45:00,30.0692307692,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 22:00:00,35.9461538462,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 22:15:00,19.4392156863,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 22:30:00,1.90303030303,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 22:45:00,1.36538461538,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 23:00:00,1.0,-58.4567097975,-34.6266665932
LINEA_A,CARABOBO,2017-05-23 23:15:00,1.0,-58.4567097975,-34.6266665932
LINEA_A,CASTRO BARROS,2017-05-23 05:00:00,3.74678111588,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 05:15:00,6.21900826446,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 05:30:00,9.54320987654,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 05:45:00,9.29508196721,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 06:00:00,14.4180327869,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 06:15:00,26.5983606557,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 06:30:00,43.8073770492,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 06:45:00,54.5836734694,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 07:00:00,83.3183673469,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 07:15:00,129.715447154,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 07:30:00,156.739837398,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 07:45:00,145.837209302,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 08:00:00,146.193050193,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 08:15:00,167.718146718,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 08:30:00,205.486486486,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 08:45:00,184.895752896,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 09:00:00,168.965250965,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 09:15:00,179.8996139,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 09:30:00,187.548262548,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 09:45:00,172.424710425,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 10:00:00,165.501930502,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 10:15:00,152.66023166,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 10:30:00,151.146718147,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 10:45:00,152.266409266,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 11:00:00,149.536679537,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 11:15:00,152.683397683,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 11:30:00,155.94980695,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 11:45:00,157.586872587,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 12:00:00,168.980769231,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 12:15:00,167.467181467,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 12:30:00,172.239382239,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 12:45:00,153.633204633,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 13:00:00,161.88030888,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 13:15:00,168.027027027,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 13:30:00,171.803088803,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 13:45:00,147.457692308,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 14:00:00,161.2,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 14:15:00,165.530769231,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 14:30:00,154.219230769,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 14:45:00,140.469230769,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 15:00:00,152.934615385,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 15:15:00,161.138461538,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 15:30:00,149.607692308,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 15:45:00,137.769230769,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 16:00:00,169.419230769,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 16:15:00,168.4,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 16:30:00,177.011538462,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 16:45:00,179.826923077,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 17:00:00,195.969230769,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 17:15:00,187.223076923,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 17:30:00,174.688461538,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 17:45:00,162.15,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 18:00:00,209.446153846,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 18:15:00,190.196153846,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 18:30:00,158.696153846,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 18:45:00,138.807692308,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 19:00:00,147.357692308,-58.4218156714,-34.6117702291
LINEA_A,CASTRO BARROS,2017-05-23 19:15:00,135.303846154,-58.4218156714,-34.6117702291
