LINEA,ESTACION,DESDE,TOTAL
LINEA_A,CARABOBO,21:30:00,36.7104247104
LINEA_A,CARABOBO,21:45:00,30.0692307692
LINEA_A,CARABOBO,22:00:00,35.9461538462
LINEA_A,CARABOBO,22:15:00,19.4392156863
LINEA_A,CARABOBO,22:30:00,1.90303030303
LINEA_A,CARABOBO,22:45:00,1.36538461538
LINEA_A,CARABOBO,23:00:00,1.0
LINEA_A,CARABOBO,23:15:00,1.0
LINEA_A,CASTRO BARROS,05:00:00,3.74678111588
LINEA_A,CASTRO BARROS,05:15:00,6.21900826446
LINEA_A,CASTRO BARROS,05:30:00,9.54320987654
LINEA_A,CASTRO BARROS,05:45:00,9.29508196721
LINEA_A,CASTRO BARROS,06:00:00,14.4180327869
LINEA_A,CASTRO BARROS,06:15:00,26.5983606557
LINEA_A,CASTRO BARROS,06:30:00,43.8073770492
LINEA_A,CASTRO BARROS,06:45:00,54.5836734694
LINEA_A,CASTRO BARROS,07:00:00,83.3183673469
LINEA_A,CASTRO BARROS,07:15:00,129.715447154
LINEA_A,CASTRO BARROS,07:30:00,156.739837398
LINEA_A,CASTRO BARROS,07:45:00,145.837209302
LINEA_A,CASTRO BARROS,08:00:00,146.193050193
LINEA_A,CASTRO BARROS,08:15:00,167.718146718
LINEA_A,CASTRO BARROS,08:30:00,205.486486486
LINEA_A,CASTRO BARROS,08:45:00,184.895752896
LINEA_A,CASTRO BARROS,09:00:00,168.965250965
LINEA_A,CASTRO BARROS,09:15:00,179.8996139
LINEA_A,CASTRO BARROS,09:30:00,187.548262548
LINEA_A,CASTRO BARROS,09:45:00,172.424710425
LINEA_A,CASTRO BARROS,10:00:00,165.501930502
LINEA_A,CASTRO BARROS,10:15:00,152.66023166
LINEA_A,CASTRO BARROS,10:30:00,151.146718147
LINEA_A,CASTRO BARROS,10:45:00,152.266409266
LINEA_A,CASTRO BARROS,11:00:00,149.536679537
LINEA_A,CASTRO BARROS,11:15:00,152.683397683
LINEA_A,CASTRO BARROS,11:30:00,155.94980695
LINEA_A,CASTRO BARROS,11:45:00,157.586872587
LINEA_A,CASTRO BARROS,12:00:00,168.980769231
LINEA_A,CASTRO BARROS,12:15:00,167.467181467
LINEA_A,CASTRO BARROS,12:30:00,172.239382239
LINEA_A,CASTRO BARROS,12:45:00,153.633204633
LINEA_A,CASTRO BARROS,13:00:00,161.88030888
LINEA_A,CASTRO BARROS,13:15:00,168.027027027
LINEA_A,CASTRO BARROS,13:30:00,171.803088803
LINEA_A,CASTRO BARROS,13:45:00,147.457692308
LINEA_A,CASTRO BARROS,14:00:00,161.2
LINEA_A,CASTRO BARROS,14:15:00,165.530769231
LINEA_A,CASTRO BARROS,14:30:00,154.219230769
LINEA_A,CASTRO BARROS,14:45:00,140.469230769
LINEA_A,CASTRO BARROS,15:00:00,152.934615385
LINEA_A,CASTRO BARROS,15:15:00,161.138461538
LINEA_A,CASTRO BARROS,15:30:00,149.607692308
LINEA_A,CASTRO BARROS,15:45:00,137.769230769
LINEA_A,CASTRO BARROS,16:00:00,169.419230769
LINEA_A,CASTRO BARROS,16:15:00,168.4
LINEA_A,CASTRO BARROS,16:30:00,177.011538462
LINEA_A,CASTRO BARROS,16:45:00,179.826923077
LINEA_A,CASTRO BARROS,17:00:00,195.969230769
LINEA_A,CASTRO BARROS,17:15:00,187.223076923
LINEA_A,CASTRO BARROS,17:30:00,174.688461538
LINEA_A,CASTRO BARROS,17:45:00,162.15
LINEA_A,CASTRO BARROS,18:00:00,209.446153846
LINEA_A,CASTRO BARROS,18:15:00,190.196153846
LINEA_A,CASTRO BARROS,18:30:00,158.696153846
LINEA_A,CASTRO BARROS,18:45:00,138.807692308
LINEA_A,CASTRO BARROS,19:00:00,147.357692308
LINEA_A,CASTRO BARROS,19:15:00,135.303846154
LINEA_A,CASTRO BARROS,19:30:00,117.576923077
LINEA_A,CASTRO BARROS,19:45:00,109.603846154
LINEA_A,CASTRO BARROS,20:00:00,126.761538462
LINEA_A,CASTRO BARROS,20:15:00,113.084615385
LINEA_A,CASTRO BARROS,20:30:00,104.011583012
LINEA_A,CASTRO BARROS,20:45:00,86.7093023256
LINEA_A,CASTRO BARROS,21:00:00,93.5366795367
LINEA_A,CASTRO BARROS,21:15:00,90.6486486486
LINEA_A,CASTRO BARROS,21:30:00,68.5791505792
LINEA_A,CASTRO BARROS,21:45:00,62.7384615385
LINEA_A,CASTRO BARROS,22:00:00,64.5423076923
LINEA_A,CASTRO BARROS,22:15:00,38.0653846154
LINEA_A,CASTRO BARROS,22:30:00,12.59765625
LINEA_A,CASTRO BARROS,22:45:00,2.98086124402
